State,2019,2020,2021
Andhra Pradesh,119229,188997,179611
Arunachal Pradesh,2590,2244,1574
Assam,123512,111558,119883
Bihar,197935,194698,186006
Chhattisgarh,61256,65216,70519
Goa,2465,3393,2099
Gujarat,139503,381849,273056
Haryana,111323,103276,112720
Himachal Pradesh,14480,14803,13014
Jharkhand,50048,51033,47684
Karnataka,120165,106350,115728
Kerala,175810,149099,142643
Madhya Pradesh,246470,283881,304066
Maharashtra,341084,394017,367218
Manipur,2830,2349,2484
Meghalaya,3125,2871,2672
Mizoram,2379,1787,2467
Nagaland,1117,1022,1033
Odisha,96033,108533,124965
Punjab,44697,49870,46454
Rajasthan,225306,193279,214552
Sikkim,632,504,532
Tamil Nadu,168116,891700,322852
Telangana,118338,135885,146131
Tripura,5336,4010,4139
Uttar Pradesh,353131,355110,355705
Uttarakhand,12081,13812,10544
West Bengal,157506,158060,157498
